Case ID,Activity,Concurrent Case Count,Avg Qty Completed by Others,Avg Qty Rejected by Others,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Others,Completion Time (minutes)
Case 1,Turning & Milling - Machine 4,0,,,,0,0,379.0
Case 1,Turning & Milling - Machine 4,0,,,,0,0,58.0
Case 1,Turning & Milling - Machine 4,6,7.166666666666667,0.0,173.0,4,43,22.0
Case 1,Turning & Milling - Machine 4,0,,,,0,0,217.0
Case 1,Turning & Milling Q.C.,0,,,,0,0,90.0
Case 1,Laser Marking - Machine 7,1,11.0,0.0,244.0,1,11,9.0
Case 1,Lapping - Machine 1,5,27.428571428571427,0.0,60.0,1,192,75.0
Case 1,Lapping - Machine 1,5,27.428571428571427,0.0,60.0,1,192,75.0
Case 1,Lapping - Machine 1,0,,,,0,0,75.0
Case 1,Lapping - Machine 1,0,,,,0,0,33.0
Case 1,Round Grinding - Machine 3,0,,,,0,0,264.0
Case 1,Round Grinding - Machine 3,0,,,,0,0,110.0
Case 1,Final Inspection Q.C.,4,24.25,0.0,212.5,3,97,60.0
Case 1,Final Inspection Q.C.,0,,,,0,0,241.0
Case 1,Final Inspection Q.C.,0,,,,0,0,75.0
Case 1,Packing,6,53.875,0.0,63.75,2,431,60.0
Case 10,Turning & Milling - Machine 9,3,12.666666666666666,0.3333333333333333,114.33333333333333,2,38,244.0
Case 10,Turning Q.C.,1,0.0,0.0,240.0,1,0,15.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,37.0
Case 10,Turning & Milling - Machine 9,1,1.0,0.0,203.0,1,1,222.0
Case 10,Turning & Milling - Machine 9,1,17.0,0.0,407.0,1,17,403.0
Case 10,Turning & Milling - Machine 9,5,4.6,0.8,201.0,3,23,25.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,82.0
Case 10,Turning & Milling - Machine 9,1,0.0,0.0,239.0,1,0,127.0
Case 10,Turning & Milling - Machine 9,5,28.8,0.0,431.4,4,144,619.0
Case 10,Turning & Milling - Machine 9,1,0.0,0.0,298.0,1,0,117.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,118.0
Case 10,Turning & Milling - Machine 9,1,6.0,0.0,65.0,1,6,541.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,232.0
Case 10,Turning & Milling - Machine 9,5,9.0,0.0,181.4,4,45,13.0
