Case ID,Activity,Last Qty Completed,Last Qty Rejected,Completion Time (minutes),Similar Case Count,Avg Qty Completed by Similar,Avg Qty Rejected by Similar,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Similar,Completion Time (minutes)_KDE,Concurrent Case Count,Avg Qty Completed by Others,Avg Qty Rejected by Others,Avg Duration of Concurrent Cases_DDE,Active Resources Count_DDE,Total Qty Completed by Others,Completion Time (minutes)_DDE
Case 1,Packing,9,0,60.0,5,71.83333333333333,0.0,60.0,1,431,60.0,6,53.875,0.0,63.75,2,431,60.0
Case 10,Packing,250,0,60.0,2,10.0,0.0,60.0,1,20,60.0,3,6.666666666666667,0.0,65.0,2,20,60.0
Case 100,Laser Marking - Machine 7,18,0,1.0,1,9.0,0.0,75.0,1,9,1.0,1,9.0,0.0,75.0,1,9,1.0
Case 100,Packing,18,0,60.0,5,28.333333333333332,0.0,60.0,1,170,60.0,8,17.0,0.0,66.0,3,170,60.0
Case 101,Packing,17,0,60.0,2,49.5,0.0,60.0,1,99,60.0,7,14.142857142857142,0.0,70.71428571428571,3,99,60.0
Case 102,Turning & Milling Q.C.,0,0,50.0,1,30.0,0.0,75.0,1,30,75.0,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling Q.C.,0,0,50.0,1,30.0,0.0,75.0,1,30,75.0,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling Q.C.,0,0,50.0,1,30.0,0.0,75.0,1,30,75.0,6,6.625,0.0,86.5,4,53,75.0
Case 102,Turning & Milling Q.C.,24,0,60.0,1,30.0,0.0,75.0,1,30,75.0,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling Q.C.,24,0,60.0,1,30.0,0.0,75.0,1,30,75.0,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling Q.C.,24,0,60.0,1,30.0,0.0,75.0,1,30,75.0,6,6.625,0.0,86.5,4,53,75.0
Case 102,Turning & Milling Q.C.,0,0,32.0,1,30.0,0.0,75.0,1,30,75.0,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling Q.C.,0,0,32.0,1,30.0,0.0,75.0,1,30,75.0,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling Q.C.,0,0,32.0,1,30.0,0.0,75.0,1,30,75.0,6,6.625,0.0,86.5,4,53,75.0
Case 102,Turning & Milling Q.C.,0,1,79.0,1,30.0,0.0,75.0,1,30,75.0,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling Q.C.,0,1,79.0,1,30.0,0.0,75.0,1,30,75.0,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling Q.C.,0,1,79.0,1,30.0,0.0,75.0,1,30,75.0,6,6.625,0.0,86.5,4,53,75.0
Case 102,Turning & Milling Q.C.,23,0,75.0,1,30.0,0.0,75.0,1,30,75.0,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling Q.C.,23,0,75.0,1,30.0,0.0,75.0,1,30,75.0,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling Q.C.,23,0,75.0,1,30.0,0.0,75.0,1,30,75.0,6,6.625,0.0,86.5,4,53,75.0
Case 102,Laser Marking - Machine 7,23,0,69.0,1,4.0,0.0,69.0,1,4,69.0,1,4.0,0.0,69.0,1,4,69.0
Case 102,Packing,23,0,60.0,3,49.666666666666664,0.0,60.0,1,149,60.0,7,67.5,0.0,70.5,6,675,60.0
Case 103,Final Inspection Q.C.,0,0,230.0,1,62.0,0.0,75.0,1,62,1.0,4,21.75,0.75,286.75,4,87,217.0
Case 103,Final Inspection Q.C.,0,0,230.0,1,62.0,0.0,75.0,1,62,1.0,1,62.0,0.0,75.0,1,62,1.0
Case 103,Final Inspection Q.C.,0,0,217.0,1,62.0,0.0,75.0,1,62,1.0,4,21.75,0.75,286.75,4,87,217.0
Case 103,Final Inspection Q.C.,0,0,217.0,1,62.0,0.0,75.0,1,62,1.0,1,62.0,0.0,75.0,1,62,1.0
Case 103,Final Inspection Q.C.,50,0,1.0,1,62.0,0.0,75.0,1,62,1.0,4,21.75,0.75,286.75,4,87,217.0
Case 103,Final Inspection Q.C.,50,0,1.0,1,62.0,0.0,75.0,1,62,1.0,1,62.0,0.0,75.0,1,62,1.0
Case 103,Packing,50,0,60.0,3,71.33333333333333,0.0,60.0,1,214,60.0,4,42.8,0.0,66.0,2,214,60.0
Case 106,Laser Marking - Machine 7,39,0,73.0,1,9.0,0.0,102.0,1,9,73.0,2,10.0,0.0,244.5,2,20,73.0
Case 106,Packing,39,0,60.0,8,21.77777777777778,0.0,60.0,1,196,60.0,9,19.6,0.5,61.5,2,196,60.0
Case 108,Flat Grinding - Machine 11,0,0,75.0,1,0.0,0.0,75.0,1,0,75.0,13,54.46666666666667,0.0,64.0,3,817,75.0
Case 108,Flat Grinding - Machine 11,14,0,59.0,1,0.0,0.0,75.0,1,0,75.0,13,54.46666666666667,0.0,64.0,3,817,75.0
Case 108,Packing,14,0,60.0,2,80.0,0.0,60.0,1,160,60.0,4,40.0,0.0,67.5,3,160,60.0
Case 109,Turning & Milling Q.C.,49,0,75.0,1,19.0,0.0,75.0,1,19,75.0,6,13.857142857142858,0.0,75.14285714285714,5,97,75.0
Case 109,Turning & Milling Q.C.,49,0,75.0,1,19.0,0.0,75.0,1,19,75.0,2,19.0,0.0,317.6666666666667,2,57,81.0
Case 109,Turning & Milling Q.C.,0,0,81.0,1,19.0,0.0,75.0,1,19,75.0,6,13.857142857142858,0.0,75.14285714285714,5,97,75.0
Case 109,Turning & Milling Q.C.,0,0,81.0,1,19.0,0.0,75.0,1,19,75.0,2,19.0,0.0,317.6666666666667,2,57,81.0
Case 109,Turning & Milling Q.C.,0,1,5.0,1,19.0,0.0,75.0,1,19,75.0,6,13.857142857142858,0.0,75.14285714285714,5,97,75.0
Case 109,Turning & Milling Q.C.,0,1,5.0,1,19.0,0.0,75.0,1,19,75.0,2,19.0,0.0,317.6666666666667,2,57,81.0
Case 109,Laser Marking - Machine 7,49,0,21.0,1,14.0,0.0,75.0,1,14,21.0,1,14.0,0.0,75.0,2,28,21.0
Case 109,Packing,45,0,60.0,1,9.0,0.0,60.0,1,9,60.0,3,3.0,0.0,70.0,3,9,60.0
Case 11,Turning & Milling Q.C.,0,0,54.0,1,0.0,0.0,30.0,1,0,54.0,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling Q.C.,0,0,54.0,1,0.0,0.0,30.0,1,0,54.0,6,9.333333333333334,0.6666666666666666,245.33333333333337,5,56,98.0
Case 11,Turning & Milling Q.C.,0,0,98.0,1,0.0,0.0,30.0,1,0,54.0,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling Q.C.,0,0,98.0,1,0.0,0.0,30.0,1,0,54.0,6,9.333333333333334,0.6666666666666666,245.33333333333337,5,56,98.0
Case 11,Turning & Milling Q.C.,60,0,75.0,1,0.0,0.0,30.0,1,0,54.0,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling Q.C.,60,0,75.0,1,0.0,0.0,30.0,1,0,54.0,6,9.333333333333334,0.6666666666666666,245.33333333333337,5,56,98.0
Case 11,Turning & Milling Q.C.,37,0,1.0,1,0.0,0.0,30.0,1,0,54.0,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling Q.C.,37,0,1.0,1,0.0,0.0,30.0,1,0,54.0,6,9.333333333333334,0.6666666666666666,245.33333333333337,5,56,98.0
Case 11,Packing,97,0,60.0,2,36.0,0.0,60.0,1,72,60.0,2,36.0,0.0,60.0,1,72,60.0
Case 11,Turning & Milling Q.C.,0,3,1.0,1,0.0,0.0,30.0,1,0,54.0,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling Q.C.,0,3,1.0,1,0.0,0.0,30.0,1,0,54.0,6,9.333333333333334,0.6666666666666666,245.33333333333337,5,56,98.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,60.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,31.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
