Case ID,Activity,Last Qty Completed,Last Qty Rejected,Completion Time (minutes)
Case 1,Turning & Milling - Machine 4,1,0,379.0
Case 1,Turning & Milling - Machine 4,1,0,58.0
Case 1,Turning & Milling - Machine 4,0,0,22.0
Case 1,Turning & Milling - Machine 4,8,0,217.0
Case 1,Turning & Milling Q.C.,9,1,90.0
Case 1,Laser Marking - Machine 7,9,0,9.0
Case 1,Lapping - Machine 1,0,0,75.0
Case 1,Lapping - Machine 1,0,0,75.0
Case 1,Lapping - Machine 1,1,0,75.0
Case 1,Lapping - Machine 1,8,0,33.0
Case 1,Round Grinding - Machine 3,0,0,264.0
Case 1,Round Grinding - Machine 3,9,0,110.0
Case 1,Final Inspection Q.C.,0,0,60.0
Case 1,Final Inspection Q.C.,0,0,241.0
Case 1,Final Inspection Q.C.,9,0,75.0
Case 1,Packing,9,0,60.0
Case 10,Turning & Milling - Machine 9,1,0,244.0
Case 10,Turning Q.C.,0,0,15.0
Case 10,Turning & Milling - Machine 9,0,0,37.0
Case 10,Turning & Milling - Machine 9,17,0,222.0
Case 10,Turning & Milling - Machine 9,37,0,403.0
Case 10,Turning & Milling - Machine 9,4,0,25.0
Case 10,Turning & Milling - Machine 9,1,0,82.0
Case 10,Turning & Milling - Machine 9,3,0,127.0
Case 10,Turning & Milling - Machine 9,40,0,619.0
Case 10,Turning & Milling - Machine 9,1,0,117.0
Case 10,Turning & Milling - Machine 9,8,0,118.0
Case 10,Turning & Milling - Machine 9,40,0,541.0
Case 10,Turning & Milling - Machine 9,17,0,232.0
Case 10,Turning & Milling - Machine 9,3,0,13.0
Case 10,Turning & Milling - Machine 9,79,0,525.0
Case 10,Turning Q.C.,251,0,152.0
Case 10,Laser Marking - Machine 7,40,0,86.0
Case 10,Laser Marking - Machine 7,160,0,114.0
Case 10,Laser Marking - Machine 7,51,0,47.0
Case 10,Flat Grinding - Machine 11,100,0,150.0
Case 10,Flat Grinding - Machine 11,100,0,417.0
Case 10,Flat Grinding - Machine 11,51,0,100.0
Case 10,Final Inspection Q.C.,250,1,98.0
Case 10,Packing,250,0,60.0
Case 100,Turning & Milling - Machine 8,7,0,48.0
Case 100,Turning & Milling - Machine 8,11,0,240.0
Case 100,Turning & Milling - Machine 8,1,0,258.0
Case 100,Turning & Milling - Machine 8,17,0,64.0
Case 100,Turning & Milling Q.C.,18,0,22.0
Case 100,Laser Marking - Machine 7,18,0,1.0
Case 100,Flat Grinding - Machine 11,18,0,22.0
Case 100,Lapping - Machine 1,18,0,32.0
Case 100,Round Grinding - Machine 3,0,0,7.0
Case 100,Round Grinding - Machine 3,18,0,271.0
Case 100,Grinding Rework - Machine 12,0,0,70.0
Case 100,Final Inspection Q.C.,0,0,165.0
Case 100,Packing,18,0,60.0
Case 100,Final Inspection Q.C.,18,0,1.0
Case 101,Setup - Machine 8,0,0,76.0
Case 101,Turning & Milling - Machine 8,0,0,145.0
Case 101,Turning & Milling - Machine 8,0,0,45.0
Case 101,Turning & Milling - Machine 8,7,0,76.0
Case 101,Turning & Milling - Machine 8,17,0,322.0
Case 101,Turning & Milling - Machine 8,3,0,46.0
Case 101,Turning & Milling - Machine 8,0,0,201.0
Case 101,Turning & Milling - Machine 8,27,0,139.0
Case 101,Turning & Milling Q.C.,27,0,75.0
Case 101,Flat Grinding - Machine 11,27,0,60.0
Case 101,Lapping - Machine 1,21,0,100.0
Case 101,Round Grinding - Machine 12,0,0,90.0
Case 101,Round Grinding - Machine 12,17,0,420.0
Case 101,Final Inspection Q.C.,17,0,281.0
Case 101,Lapping - Machine 1,6,0,60.0
Case 101,Laser Marking - Machine 7,17,0,14.0
Case 101,Packing,17,0,60.0
Case 102,Turning & Milling - Machine 8,0,0,269.0
Case 102,Turning & Milling - Machine 8,0,0,217.0
Case 102,Turning & Milling - Machine 8,0,0,146.0
Case 102,Turning & Milling - Machine 8,0,0,112.0
Case 102,Turning & Milling Q.C.,0,0,50.0
Case 102,Turning & Milling - Machine 8,3,0,104.0
Case 102,Turning & Milling - Machine 8,9,0,241.0
Case 102,Turning & Milling - Machine 8,7,0,181.0
Case 102,Turning & Milling - Machine 8,5,0,213.0
Case 102,Turning & Milling - Machine 8,1,0,295.0
Case 102,Turning & Milling Q.C.,24,0,60.0
Case 102,Turning & Milling - Machine 8,0,0,80.0
Case 102,Turning & Milling Q.C.,0,0,32.0
Case 102,Turning & Milling - Machine 8,8,0,29.0
Case 102,Turning & Milling - Machine 8,15,0,104.0
Case 102,Turning & Milling Q.C.,0,1,79.0
Case 102,Turning & Milling Q.C.,23,0,75.0
Case 102,Laser Marking - Machine 7,23,0,69.0
Case 102,Lapping - Machine 1,0,0,75.0
Case 102,Lapping - Machine 1,23,0,86.0
Case 102,Round Grinding - Manual,0,0,35.0
Case 102,Round Grinding - Manual,23,0,220.0
Case 102,Round Grinding - Machine 3,0,0,66.0
Case 102,Round Grinding - Q.C.,5,0,19.0
Case 102,Round Grinding - Machine 3,0,0,2.0
Case 102,Round Grinding - Machine 3,23,0,168.0
Case 102,Round Grinding - Q.C.,18,0,57.0
Case 102,Final Inspection Q.C.,0,0,180.0
Case 102,Final Inspection Q.C.,23,0,6.0
Case 102,Packing,23,0,60.0
Case 103,Turning & Milling - Machine 8,0,0,68.0
Case 103,Turning & Milling - Machine 8,0,0,152.0
Case 103,Turning & Milling - Machine 8,0,0,394.0
Case 103,Turning & Milling - Machine 8,0,0,491.0
Case 103,Turning & Milling - Machine 8,14,0,172.0
Case 103,Turning & Milling Q.C.,0,0,186.0
Case 103,Turning & Milling - Machine 8,8,0,175.0
Case 103,Turning & Milling Q.C.,0,0,34.0
Case 103,Turning & Milling - Machine 8,0,0,94.0
Case 103,Turning & Milling - Machine 8,0,0,71.0
Case 103,Turning & Milling - Machine 8,25,0,260.0
Case 103,Turning & Milling - Machine 8,5,0,120.0
Case 103,Turning & Milling Q.C.,50,2,1.0
Case 103,Laser Marking - Machine 7,50,0,52.0
Case 103,Flat Grinding - Machine 11,50,0,37.0
Case 103,Final Inspection Q.C.,0,0,230.0
Case 103,Final Inspection Q.C.,0,0,217.0
