Case ID,Activity,Similar Case Count,Avg Qty Completed by Similar,Avg Qty Rejected by Similar,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Similar,Completion Time (minutes)
Case 1,Turning & Milling - Machine 4,0,,,,0,0,379.0
Case 1,Turning & Milling - Machine 4,0,,,,0,0,58.0
Case 1,Turning & Milling - Machine 4,0,,,,0,0,22.0
Case 1,Turning & Milling - Machine 4,0,,,,0,0,217.0
Case 1,Turning & Milling Q.C.,0,,,,0,0,90.0
Case 1,Laser Marking - Machine 7,0,,,,0,0,9.0
Case 1,Lapping - Machine 1,0,,,,0,0,75.0
Case 1,Lapping - Machine 1,0,,,,0,0,75.0
Case 1,Lapping - Machine 1,0,,,,0,0,75.0
Case 1,Lapping - Machine 1,0,,,,0,0,33.0
Case 1,Round Grinding - Machine 3,0,,,,0,0,264.0
Case 1,Round Grinding - Machine 3,0,,,,0,0,110.0
Case 1,Final Inspection Q.C.,0,,,,0,0,60.0
Case 1,Final Inspection Q.C.,0,,,,0,0,241.0
Case 1,Final Inspection Q.C.,0,,,,0,0,75.0
Case 1,Packing,5,71.83333333333333,0.0,60.0,1,431,60.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,244.0
Case 10,Turning Q.C.,0,,,,0,0,15.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,37.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,222.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,403.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,25.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,82.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,127.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,619.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,117.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,118.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,541.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,232.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,13.0
Case 10,Turning & Milling - Machine 9,0,,,,0,0,525.0
Case 10,Turning Q.C.,0,,,,0,0,152.0
Case 10,Laser Marking - Machine 7,0,,,,0,0,86.0
Case 10,Laser Marking - Machine 7,0,,,,0,0,114.0
Case 10,Laser Marking - Machine 7,0,,,,0,0,47.0
Case 10,Flat Grinding - Machine 11,0,,,,0,0,150.0
