case:concept:name,concept:name,Resource,time:timestamp,Complete Timestamp,case:Work Order Qty,case:Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Event Start Hour,Event Start Day,Event Start Month,Event Start Day of Week,Time Gap Between Events,Cumulative Qty Completed,Cumulative Qty Rejected,Cumulative Qty for MRB,Has Rejections,Total Events Per Case,Unique Activities Count,Unique Resources Count,Event Completion Time (minutes),case:Total Duration,Case Remaining Time (minutes)
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-29 23:24:00,2012-01-30 05:43:00,10,Cable Head,ID4932,S,1,0,0,0,23,29,1,6,0.0,1,0,0,0,16,7,6,379.0,1843.0,1843.0
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 05:44:00,2012-01-30 06:42:00,10,Cable Head,ID4932,D,1,0,0,0,5,30,1,0,380.0,2,0,0,0,16,7,6,58.0,1843.0,1464.0
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 06:59:00,2012-01-30 07:21:00,10,Cable Head,ID4167,S,0,0,0,0,6,30,1,0,75.0,2,0,0,0,16,7,6,22.0,1843.0,1406.0
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 07:21:00,2012-01-30 10:58:00,10,Cable Head,ID4167,D,8,0,0,0,7,30,1,0,22.0,10,0,0,0,16,7,6,217.0,1843.0,1384.0
Case 1,Turning & Milling Q.C.,Quality Check 1,2012-01-31 13:20:00,2012-01-31 14:50:00,10,Cable Head,ID4163,D,9,1,0,0,13,31,1,1,1799.0,19,1,0,1,16,7,6,90.0,1843.0,1167.0
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01 08:18:00,2012-02-01 08:27:00,10,Cable Head,ID0998,D,9,0,0,0,8,1,2,2,1138.0,28,1,0,0,16,7,6,9.0,1843.0,1077.0
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00,2012-02-14 01:15:00,10,Cable Head,ID4882,D,0,0,0,0,0,14,2,1,18222.0,28,1,0,0,16,7,6,75.0,1843.0,1068.0
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00,2012-02-14 01:15:00,10,Cable Head,ID4882,D,0,0,0,0,0,14,2,1,0.0,28,1,0,0,16,7,6,75.0,1843.0,993.0
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00,2012-02-14 10:20:00,10,Cable Head,ID4882,D,1,0,0,0,9,14,2,1,545.0,29,1,0,0,16,7,6,75.0,1843.0,918.0
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00,2012-02-14 09:38:00,10,Cable Head,ID4882,D,8,0,0,0,9,14,2,1,0.0,37,1,0,0,16,7,6,33.0,1843.0,843.0
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 09:13:00,2012-02-14 13:37:00,10,Cable Head,ID4445,S,0,0,0,0,9,14,2,1,8.0,37,1,0,0,16,7,6,264.0,1843.0,810.0
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 13:37:00,2012-02-14 15:27:00,10,Cable Head,ID4445,D,9,0,0,0,13,14,2,1,264.0,46,1,0,0,16,7,6,110.0,1843.0,546.0
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 06:59:00,2012-02-16 07:59:00,10,Cable Head,ID4493,D,0,0,0,0,6,16,2,3,2482.0,46,1,0,0,16,7,6,60.0,1843.0,436.0
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:11:00,2012-02-16 16:12:00,10,Cable Head,ID4493,D,0,0,0,0,12,16,2,3,312.0,46,1,0,0,16,7,6,241.0,1843.0,376.0
