Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Work Order Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Completion Time (minutes),case:concept:name,concept:name,time:timestamp
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-29 23:24:00+00:00,2012-01-30 05:43:00+00:00,10,Cable Head,ID4932,S,1,0,0,0,379.0,Case 1,Turning & Milling - Machine 4,2012-01-29 23:24:00+00:00
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 05:44:00+00:00,2012-01-30 06:42:00+00:00,10,Cable Head,ID4932,D,1,0,0,0,58.0,Case 1,Turning & Milling - Machine 4,2012-01-30 05:44:00+00:00
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 06:59:00+00:00,2012-01-30 07:21:00+00:00,10,Cable Head,ID4167,S,0,0,0,0,22.0,Case 1,Turning & Milling - Machine 4,2012-01-30 06:59:00+00:00
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 07:21:00+00:00,2012-01-30 10:58:00+00:00,10,Cable Head,ID4167,D,8,0,0,0,217.0,Case 1,Turning & Milling - Machine 4,2012-01-30 07:21:00+00:00
Case 1,Turning & Milling Q.C.,Quality Check 1,2012-01-31 13:20:00+00:00,2012-01-31 14:50:00+00:00,10,Cable Head,ID4163,D,9,1,0,0,90.0,Case 1,Turning & Milling Q.C.,2012-01-31 13:20:00+00:00
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01 08:18:00+00:00,2012-02-01 08:27:00+00:00,10,Cable Head,ID0998,D,9,0,0,0,9.0,Case 1,Laser Marking - Machine 7,2012-02-01 08:18:00+00:00
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00+00:00,2012-02-14 01:15:00+00:00,10,Cable Head,ID4882,D,0,0,0,0,75.0,Case 1,Lapping - Machine 1,2012-02-14 00:00:00+00:00
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00+00:00,2012-02-14 01:15:00+00:00,10,Cable Head,ID4882,D,0,0,0,0,75.0,Case 1,Lapping - Machine 1,2012-02-14 00:00:00+00:00
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00+00:00,2012-02-14 10:20:00+00:00,10,Cable Head,ID4882,D,1,0,0,0,75.0,Case 1,Lapping - Machine 1,2012-02-14 09:05:00+00:00
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00+00:00,2012-02-14 09:38:00+00:00,10,Cable Head,ID4882,D,8,0,0,0,33.0,Case 1,Lapping - Machine 1,2012-02-14 09:05:00+00:00
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 09:13:00+00:00,2012-02-14 13:37:00+00:00,10,Cable Head,ID4445,S,0,0,0,0,264.0,Case 1,Round Grinding - Machine 3,2012-02-14 09:13:00+00:00
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 13:37:00+00:00,2012-02-14 15:27:00+00:00,10,Cable Head,ID4445,D,9,0,0,0,110.0,Case 1,Round Grinding - Machine 3,2012-02-14 13:37:00+00:00
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 06:59:00+00:00,2012-02-16 07:59:00+00:00,10,Cable Head,ID4493,D,0,0,0,0,60.0,Case 1,Final Inspection Q.C.,2012-02-16 06:59:00+00:00
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:11:00+00:00,2012-02-16 16:12:00+00:00,10,Cable Head,ID4493,D,0,0,0,0,241.0,Case 1,Final Inspection Q.C.,2012-02-16 12:11:00+00:00
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:43:00+00:00,2012-02-16 13:58:00+00:00,10,Cable Head,ID4493,D,9,0,0,0,75.0,Case 1,Final Inspection Q.C.,2012-02-16 12:43:00+00:00
Case 1,Packing,Packing,2012-02-17 00:00:00+00:00,2012-02-17 01:00:00+00:00,10,Cable Head,ID4820,D,9,0,0,0,60.0,Case 1,Packing,2012-02-17 00:00:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 07:01:00+00:00,2012-01-17 11:05:00+00:00,251,Spur Gear,ID3846,S,1,0,0,0,244.0,Case 10,Turning & Milling - Machine 9,2012-01-17 07:01:00+00:00
Case 10,Turning Q.C.,Quality Check 1,2012-01-17 11:00:00+00:00,2012-01-17 11:15:00+00:00,251,Spur Gear,ID4618,D,0,0,0,0,15.0,Case 10,Turning Q.C.,2012-01-17 11:00:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 19:24:00+00:00,2012-01-17 20:01:00+00:00,251,Spur Gear,ID4132,S,0,0,0,0,37.0,Case 10,Turning & Milling - Machine 9,2012-01-17 19:24:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 20:01:00+00:00,2012-01-17 23:43:00+00:00,251,Spur Gear,ID4132,D,17,0,0,0,222.0,Case 10,Turning & Milling - Machine 9,2012-01-17 20:01:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 23:49:00+00:00,2012-01-18 06:32:00+00:00,251,Spur Gear,ID4794,D,37,0,0,0,403.0,Case 10,Turning & Milling - Machine 9,2012-01-17 23:49:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 06:59:00+00:00,2012-01-18 07:24:00+00:00,251,Spur Gear,ID3846,D,4,0,0,0,25.0,Case 10,Turning & Milling - Machine 9,2012-01-18 06:59:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 16:33:00+00:00,2012-01-18 17:55:00+00:00,251,Spur Gear,ID4132,S,1,0,0,0,82.0,Case 10,Turning & Milling - Machine 9,2012-01-18 16:33:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 17:57:00+00:00,2012-01-18 20:04:00+00:00,251,Spur Gear,ID4132,D,3,0,0,0,127.0,Case 10,Turning & Milling - Machine 9,2012-01-18 17:57:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 20:10:00+00:00,2012-01-19 06:29:00+00:00,251,Spur Gear,ID4794,D,40,0,0,0,619.0,Case 10,Turning & Milling - Machine 9,2012-01-18 20:10:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 16:12:00+00:00,2012-01-19 18:09:00+00:00,251,Spur Gear,ID4132,S,1,0,0,0,117.0,Case 10,Turning & Milling - Machine 9,2012-01-19 16:12:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 18:10:00+00:00,2012-01-19 20:08:00+00:00,251,Spur Gear,ID4132,D,8,0,0,0,118.0,Case 10,Turning & Milling - Machine 9,2012-01-19 18:10:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 20:09:00+00:00,2012-01-20 05:10:00+00:00,251,Spur Gear,ID4794,D,40,0,0,0,541.0,Case 10,Turning & Milling - Machine 9,2012-01-19 20:09:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 02:42:00+00:00,2012-01-22 06:34:00+00:00,251,Spur Gear,ID4641,D,17,0,0,0,232.0,Case 10,Turning & Milling - Machine 9,2012-01-22 02:42:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 07:00:00+00:00,2012-01-22 07:13:00+00:00,251,Spur Gear,ID3846,D,3,0,0,0,13.0,Case 10,Turning & Milling - Machine 9,2012-01-22 07:00:00+00:00
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 09:02:00+00:00,2012-01-22 17:47:00+00:00,251,Spur Gear,ID3846,D,79,0,0,0,525.0,Case 10,Turning & Milling - Machine 9,2012-01-22 09:02:00+00:00
Case 10,Turning Q.C.,Quality Check 1,2012-01-23 07:54:00+00:00,2012-01-23 10:26:00+00:00,251,Spur Gear,ID4618,D,251,0,0,0,152.0,Case 10,Turning Q.C.,2012-01-23 07:54:00+00:00
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 09:31:00+00:00,2012-01-25 10:57:00+00:00,251,Spur Gear,ID4794,D,40,0,0,0,86.0,Case 10,Laser Marking - Machine 7,2012-01-25 09:31:00+00:00
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 11:00:00+00:00,2012-01-25 12:54:00+00:00,251,Spur Gear,ID4882,D,160,0,0,0,114.0,Case 10,Laser Marking - Machine 7,2012-01-25 11:00:00+00:00
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 13:22:00+00:00,2012-01-25 14:09:00+00:00,251,Spur Gear,ID4882,D,51,0,0,0,47.0,Case 10,Laser Marking - Machine 7,2012-01-25 13:22:00+00:00
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-27 10:30:00+00:00,2012-01-27 13:00:00+00:00,251,Spur Gear,ID0998,D,100,0,0,0,150.0,Case 10,Flat Grinding - Machine 11,2012-01-27 10:30:00+00:00
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-29 08:09:00+00:00,2012-01-29 15:06:00+00:00,251,Spur Gear,ID0998,D,100,0,0,0,417.0,Case 10,Flat Grinding - Machine 11,2012-01-29 08:09:00+00:00
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-30 15:19:00+00:00,2012-01-30 16:59:00+00:00,251,Spur Gear,ID0998,D,51,0,0,0,100.0,Case 10,Flat Grinding - Machine 11,2012-01-30 15:19:00+00:00
