Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Duration,total_duration,num_activities,unique_resources,concurrent_cases,time_proximity
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-29 23:24:00,2012-01-30 05:43:00,006:19,10,Cable Head,ID4932,S,1,0,0,,379.0,1843.0,16,6,20,37550.708058124175
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 05:44:00,2012-01-30 06:42:00,000:58,10,Cable Head,ID4932,D,1,0,0,,58.0,1843.0,16,6,4,37385.294143549094
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 06:59:00,2012-01-30 07:21:00,000:22,10,Cable Head,ID4167,S,0,0,0,,22.0,1843.0,16,6,10,37360.941863025764
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 07:21:00,2012-01-30 10:58:00,003:37,10,Cable Head,ID4167,D,8,0,0,,217.0,1843.0,16,6,31,37343.244165565826
Case 1,Turning & Milling Q.C.,Quality Check 1,2012-01-31 13:20:00,2012-01-31 14:50:00,001:30,10,Cable Head,ID4163,D,9,1,0,,90.0,1843.0,16,6,10,36607.01056803171
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01 08:18:00,2012-02-01 08:27:00,000:09,10,Cable Head,ID0998,D,9,0,0,,9.0,1843.0,16,6,11,36167.70541611625
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00,2012-02-14 01:15:00,000:00,10,Cable Head,ID4882,D,0,0,0,,75.0,1843.0,16,6,19,31828.75694750772
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 00:00:00,2012-02-14 01:15:00,000:00,10,Cable Head,ID4882,D,0,0,0,,75.0,1843.0,16,6,19,31828.75694750772
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00,2012-02-14 10:20:00,000:00,10,Cable Head,ID4882,D,1,0,0,,75.0,1843.0,16,6,16,31724.85730015415
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14 09:05:00,2012-02-14 09:38:00,000:33,10,Cable Head,ID4882,D,8,0,0,,33.0,1843.0,16,6,15,31724.85730015415
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 09:13:00,2012-02-14 13:37:00,004:24,10,Cable Head,ID4445,S,0,0,0,,264.0,1843.0,16,6,29,31717.130999559664
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14 13:37:00,2012-02-14 15:27:00,001:50,10,Cable Head,ID4445,D,9,0,0,,110.0,1843.0,16,6,18,31700.498348381414
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 06:59:00,2012-02-16 07:59:00,001:00,10,Cable Head,ID4493,D,0,0,0,,60.0,1843.0,16,6,17,31540.599955966532
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:11:00,2012-02-16 16:12:00,004:01,10,Cable Head,ID4493,D,0,0,0,,241.0,1843.0,16,6,36,31530.85226772347
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:43:00,2012-02-16 13:58:00,000:00,10,Cable Head,ID4493,D,9,0,0,,75.0,1843.0,16,6,22,31530.098414795244
Case 1,Packing,Packing,2012-02-17 00:00:00,2012-02-17 01:00:00,000:00,10,Cable Head,ID4820,D,9,0,0,,60.0,1843.0,16,6,16,31575.63211292457
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 07:01:00,2012-01-17 11:05:00,004:04,251,Spur Gear,ID3846,S,1,0,0,,244.0,4544.0,24,5,22,47893.600836635844
Case 10,Turning Q.C.,Quality Check 1,2012-01-17 11:00:00,2012-01-17 11:15:00,000:15,251,Spur Gear,ID4618,D,0,0,0,,15.0,4544.0,24,5,14,47735.53886809073
